generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_speed_sweeper,archetype_physical_attacker,archetype_balanced_all-rounder,archetype_defensive_tank,archetype_generalist,archetype_fast_attacker
0,0.39727347746891456,0.5894708171797098,0.08283633301525883,1.7846149450117532,82.66666666666667,220,187,115,169,91,118
1,0.4538273670520677,0.6020620456061812,0.06646112022673142,1.918372681187769,78.0,176,159,132,165,125,143
2,0.4839809492199843,0.6020620456061812,0.06523986125696347,1.995104514549948,81.33333333333333,186,138,141,150,140,145
3,0.5106784112843862,0.617045399921589,0.05676984777611013,2.0512047645451403,84.66666666666667,184,123,159,133,140,161
4,0.5309161700005209,0.624752500823818,0.05358020649646849,2.072086972900108,84.66666666666667,172,126,145,148,150,159
5,0.5529248483549317,0.6521725600525153,0.04546817601644625,2.1054203062334422,87.33333333333333,170,124,124,156,150,176
6,0.5629022880024541,0.6521725600525153,0.047320524179472856,2.1296141256899057,83.33333333333333,170,132,149,127,169,153
7,0.5654487511821873,0.6585223697752591,0.05489853295971894,2.090997584020835,88.66666666666667,187,111,123,123,189,167
8,0.5850364987428284,0.6585223697752591,0.046831867123071066,2.1424027645836023,88.0,173,113,131,137,178,168
9,0.6018878679523171,0.6768472157435975,0.04557743028371158,2.2018580701439654,92.0,181,112,152,118,171,166
10,0.6190311218441559,0.6768472157435975,0.0389767674695572,2.1999299173733995,92.0,174,109,149,102,199,167
11,0.6273624584239138,0.6768472157435975,0.038655112853209925,2.2141020145980255,92.66666666666667,186,114,146,81,209,164
12,0.6308059901225517,0.6887692801644808,0.03835361754854418,2.1871412784797024,90.66666666666667,182,115,132,78,218,175
13,0.636857199331263,0.6887692801644808,0.042111383727722884,2.191879792375803,87.33333333333333,179,131,107,91,210,182
14,0.6468436358854401,0.6887692801644808,0.036660506106979934,2.1793852229337625,85.33333333333333,160,117,90,107,256,170
15,0.6559891728217876,0.6887692801644808,0.0345392196303389,2.196324236820248,84.66666666666667,148,111,82,123,278,158
16,0.6604306731719628,0.6887692801644808,0.035874251891516065,2.2016074451559846,89.33333333333333,146,93,71,147,278,165
17,0.6701026086707487,0.7052366733130125,0.02998703147554978,2.2246684312694995,90.66666666666667,142,69,100,145,289,155
18,0.6767609930967164,0.7052366733130125,0.02740386958698696,2.2246684312695,94.66666666666667,148,37,127,143,295,150
19,0.677326798607642,0.7052366733130125,0.03047300801015529,2.209951639605237,93.33333333333333,151,43,135,124,296,151
20,0.6830162812908882,0.7052366733130125,0.027996954522815847,2.2255071951607923,95.33333333333333,146,66,139,100,294,155
21,0.6874348875238936,0.7161767153450569,0.027243699234143152,2.220518056276711,96.0,148,119,136,53,292,152
22,0.6926786574759819,0.7161767153450569,0.029857956322628984,2.2249625007211553,96.66666666666667,150,150,140,20,292,148
23,0.6944552739271457,0.7161767153450569,0.035038258326308004,2.2677294173830145,96.0,150,152,142,32,275,149
24,0.6981589916893804,0.7161767153450569,0.030222697042092347,2.3574570701631963,90.66666666666667,139,158,148,71,234,150
25,0.7019425219848864,0.7161767153450569,0.030852270813114677,2.478295834054489,94.66666666666667,145,147,153,123,182,150
26,0.7071124122984598,0.7161767153450569,0.02654622719758087,2.5405180562767113,99.33333333333333,152,151,149,144,151,153
27,0.7071029542012527,0.7161767153450569,0.028461339093058664,2.5582958340544892,98.66666666666667,150,150,148,152,151,149
28,0.7023947145615004,0.7161767153450569,0.03655093569059425,2.5427402784989335,98.0,149,153,149,148,149,152
29,0.7036319131016997,0.7161767153450569,0.03115806621394159,2.533851389610045,95.33333333333333,148,150,154,144,149,155
30,0.7043018256132411,0.7161767153450569,0.03182962170867358,2.5405180562767113,98.66666666666667,156,153,147,147,147,150
31,0.7048196306624164,0.7161767153450569,0.03197209836072184,2.547184722943378,96.0,146,149,151,154,151,149
32,0.7055517903737591,0.7161767153450569,0.028621420811966194,2.5405180562767113,98.66666666666667,151,151,146,149,150,153
33,0.7074632992873242,0.7215479936388657,0.028301192128246316,2.5560736118322676,97.33333333333333,151,148,148,149,154,150
34,0.7023453283006156,0.7215479936388657,0.035875396823667055,2.5360736118322675,96.66666666666667,150,154,150,147,147,152
35,0.7031783833343337,0.7215479936388657,0.034473761233167685,2.536073611832267,96.66666666666667,148,154,148,149,149,152
36,0.7011587107114282,0.7215479936388657,0.04042349708531353,2.536073611832267,98.0,152,150,153,150,146,149
37,0.7070318678427495,0.7215479936388657,0.0328079076709618,2.542740278498934,99.33333333333333,156,145,149,148,155,147
38,0.7066158457419655,0.7215479936388657,0.03547642612882409,2.533851389610045,99.33333333333333,156,149,150,146,147,152
39,0.7093193389361208,0.7215479936388657,0.035505394395246484,2.542740278498934,99.33333333333333,155,150,148,151,150,146
40,0.7108506941676515,0.7215479936388657,0.03245833976304168,2.551629167387823,98.66666666666667,153,150,150,151,149,147
41,0.7095589479788094,0.7215479936388657,0.03275459871448846,2.5449625007211556,99.33333333333333,151,152,154,148,147,148
42,0.7079480711241206,0.7215479936388657,0.03584479924548928,2.5405180562767113,98.66666666666667,154,151,146,150,151,148
43,0.7107812783319508,0.7215479936388657,0.03238960933235521,2.551629167387823,99.33333333333333,153,149,150,149,150,149
44,0.7096413861174053,0.7215479936388657,0.0345102185101697,2.547184722943378,96.66666666666667,151,151,150,150,146,152
45,0.7101323666270128,0.7215479936388657,0.03143936560901288,2.5449625007211556,98.66666666666667,155,151,147,148,148,151
46,0.7116980207154916,0.7215479936388657,0.029004365004143693,2.5494069451656003,99.33333333333333,151,151,150,150,148,150
47,0.7091315863445425,0.7298288664365266,0.034078127671832756,2.542740278498934,98.0,151,149,148,156,149,147
48,0.710483674066805,0.7298288664365266,0.03131627174348167,2.547184722943378,97.33333333333333,151,150,150,148,150,151
49,0.7077986637045764,0.7298288664365266,0.03557074571799714,2.547184722943378,99.33333333333333,152,146,152,153,148,149
50,0.7090391705648645,0.7298288664365266,0.035707821807538925,2.5360736118322666,98.66666666666667,155,156,145,150,146,148
51,0.7119062452604747,0.7298288664365266,0.038115543578852384,2.5405180562767113,94.66666666666667,147,149,146,153,153,152
52,0.7155549205424336,0.7298288664365266,0.034103710586216376,2.5427402784989335,98.0,153,150,149,148,149,151
53,0.7140697130906727,0.7298288664365266,0.036274891611929386,2.5316291673878224,97.33333333333333,154,155,147,147,147,150
54,0.7154324678719646,0.7298288664365266,0.0339981228645227,2.533851389610045,98.66666666666667,153,153,148,152,144,150
55,0.717792905583922,0.7298288664365266,0.03272487100712358,2.547184722943378,98.66666666666667,149,151,148,151,151,150
56,0.7175857732186461,0.7298288664365266,0.03121590210509021,2.547184722943378,99.33333333333333,153,148,150,154,149,146
57,0.7203641208833645,0.7298288664365266,0.02726101908173352,2.5560736118322676,99.33333333333333,151,149,148,154,151,147
58,0.7190917806093069,0.732799867596916,0.030126927432813425,2.553851389610045,99.33333333333333,154,150,151,149,148,148
59,0.7174977995285997,0.732799867596916,0.030909331197266774,2.544962500721156,97.33333333333333,148,151,152,150,148,151
60,0.7190264119769311,0.732799867596916,0.03234620093387943,2.5494069451656007,98.0,150,153,150,151,146,150
61,0.7189159245887475,0.732799867596916,0.033014283391541076,2.544962500721156,98.0,149,152,150,152,151,146
62,0.7187000752624941,0.732799867596916,0.03504464396589855,2.5427402784989335,98.66666666666667,151,153,150,149,151,146
63,0.7256653176447025,0.732799867596916,0.023300794511380105,2.5605180562767114,99.33333333333333,152,151,146,152,149,150
64,0.7219203895491024,0.732799867596916,0.03144151893791646,2.5516291673878224,99.33333333333333,150,149,148,151,152,150
65,0.7198096277965459,0.732799867596916,0.03316257141869136,2.547184722943378,97.33333333333333,149,146,148,156,151,150
66,0.7199230232249609,0.732799867596916,0.03160033855373548,2.544962500721156,98.66666666666667,152,148,146,153,151,150
67,0.717712470315708,0.732799867596916,0.03680835709338133,2.538295834054489,97.33333333333333,153,148,148,150,147,154
68,0.7158579279337759,0.732799867596916,0.04199046736163307,2.536073611832267,95.33333333333333,145,157,150,153,147,148
69,0.7238132681245869,0.732799867596916,0.029059890029027532,2.5582958340544892,99.33333333333333,152,152,149,149,147,151
70,0.7144764384714961,0.732799867596916,0.03891601612728204,2.5249625007211556,98.66666666666667,158,151,149,146,149,147
71,0.7183898742576347,0.732799867596916,0.034519186138354765,2.542740278498934,98.66666666666667,154,149,148,154,148,147
72,0.7192626821088915,0.732799867596916,0.0358142118890023,2.5449625007211556,96.66666666666667,149,151,152,148,152,148
73,0.7155067891146342,0.732799867596916,0.03858289334807555,2.538295834054489,98.66666666666667,153,152,150,154,146,145
74,0.7152345915663857,0.732799867596916,0.04119946818395242,2.533851389610045,98.66666666666667,157,143,151,149,149,151
75,0.7225731711420719,0.732799867596916,0.029174731016266824,2.5494069451656003,99.33333333333333,152,151,149,148,151,149
76,0.7142608607572428,0.732799867596916,0.042474384311986496,2.5316291673878224,97.33333333333333,151,148,151,153,146,151
77,0.7196827031493035,0.732799867596916,0.03419352686058224,2.5449625007211556,98.66666666666667,155,152,150,147,149,147
78,0.7190877397578178,0.732799867596916,0.03747324640230164,2.544962500721156,98.0,151,156,149,149,143,152
79,0.7204039561252803,0.732799867596916,0.03376643972387063,2.5449625007211556,99.33333333333333,157,154,147,148,148,146
80,0.7166796450944014,0.732799867596916,0.035438270272373174,2.531629167387823,97.33333333333333,154,151,146,149,151,149
81,0.7197019821531455,0.732799867596916,0.0335731147286137,2.542740278498934,99.33333333333333,156,144,147,151,152,150
82,0.7203679857031261,0.732799867596916,0.03273071105725593,2.544962500721156,98.0,148,153,149,151,150,149
83,0.7239350752627303,0.732799867596916,0.027336507532535914,2.553851389610045,99.33333333333333,153,150,152,145,152,148
84,0.7203028582554137,0.732799867596916,0.03141017725294876,2.542740278498934,99.33333333333333,157,149,148,150,150,146
85,0.7200349682005445,0.732799867596916,0.033216702743054,2.5449625007211556,97.33333333333333,147,152,153,151,151,146
86,0.7227665385766223,0.732799867596916,0.03213695998683468,2.553851389610045,97.33333333333333,149,149,153,151,148,150
87,0.7248669678311948,0.7394672727271693,0.02547174692865178,2.5582958340544892,100.0,153,148,152,147,153,147
88,0.7213995063859843,0.7394672727271693,0.03124001032515571,2.5449625007211556,98.66666666666667,155,149,145,150,149,152
89,0.7141691861786823,0.7394672727271693,0.04033131507960799,2.5205180562767113,98.0,156,150,150,152,143,149
90,0.7211943974491047,0.7394672727271693,0.03479167482476075,2.5405180562767113,98.66666666666667,156,149,147,150,146,152
91,0.7258574725341399,0.7394672727271693,0.03232965134724061,2.553851389610045,98.0,151,151,150,151,149,148
92,0.7260313117587351,0.7394672727271693,0.033591172112592105,2.5360736118322675,97.33333333333333,151,151,150,150,148,150
93,0.7271091285503849,0.7394672727271693,0.03271976811158923,2.5449625007211556,98.0,154,150,153,148,147,148
94,0.7294739902861248,0.7394672727271693,0.029284423943207658,2.551629167387823,98.66666666666667,152,152,150,151,148,147
95,0.7255741009918589,0.7394672727271693,0.032338182728996516,2.5427402784989335,96.66666666666667,148,153,151,152,145,151
96,0.7293551870371099,0.7394672727271693,0.026960910088956756,2.5427402784989335,98.66666666666667,154,154,146,150,144,152
97,0.7248429886695655,0.7394672727271693,0.034959650386467984,2.5360736118322675,98.66666666666667,154,147,147,151,152,149
98,0.7267067146719125,0.7394672727271693,0.03369860457858043,2.5427402784989335,98.66666666666667,151,147,154,150,151,147
99,0.7277273019445251,0.7394672727271693,0.031641628426063974,2.5449625007211556,98.0,153,145,150,151,151,150
100,0.7229826475571479,0.7394672727271693,0.036573466655133065,2.527184722943378,97.33333333333333,154,149,149,146,151,151
